id,text
23,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/EVTEHjKx9F
24,@Slate Not soon enough - I mean his departure abs #Trump¡¯s
25,"Don¡¯t Panic...
#JoeBiden is in a much better position than #HillaryClinton was.

#Trump: projected loser of #election2020 
 https://t.co/SYi4Qf3KxP"
26,"Americans Surge to Polls: ¡®I¡¯m Going to Vote Like My Life Depends on It¡¯ - The New York Times

<U+25AA><U+FE0F>We¡¯re on course to surpass 150 million votes for the first time 
(#Trump can write home &amp; brag about being the most hated/despised president in US history) 

 https://t.co/oYPTYW0myN"
27,"#Trump dragging down GOP senators, giving Democrats more paths to the majority - The Washington Post.

<U+25AA><U+FE0F>There are at least 10 states where the senatorial races are in play. I am a proud supporter of the Democratic challengers in #Montana &amp; #SouthCarolina https://t.co/imNlYUEXoO"
28,"Walk the walk, talk the pork. #Trump #USElection2020"
29,"A friend in greed, is a friend indeed. #USElection2020 #Trump"
30,Another #Trump thief. #LiarsCheatsThieves #UnfitForOffice  https://t.co/AGf2vzABDB
31,"@YahooNews That's jack@$$ historian claimed the #Trump supporters tried to run the bus off the road and that ""most were armed"". Shut. The. F$%&amp;. Up. Unless you put up video proving that actually happened, I'm calling you a liar."
32,"@odktiger @Freewillburnya @IngridIngwah @TertiusIII @impeachqueen @ChadCottle @malo_j @MichelleNewDay @Gungglefont @JustSayingWhat1 @bearschoice2020 @mirandadied4u @Catheri77148739 @RosaRubicon @Sicut_Lupus @HazyPeter @Canna420Uk @stevensoileau1 @SlsStudios @BabeTruth2 @gimmesomeloki @andyguy @Jaxhomegirl @RTheatheist @AndrewRChapman @Melanie33720945 @Unlockthedoor77 @AGTCnews @GlennB10809975 @Yahweh_Has_Nil @OfRewol @1pckt @LeyFenix @craigo001 @DeanPHanley @CONSMILITIA @ShawnTheAtheist @____Roar____ @jools6691 @MassageForYou7 @Melbajapan @HaircutSpock @SmokeyStafford @AMilitantAgnost @mavcatrn @Thedukeistheman @orna_verum @Minagica I think the gullible and poorly educated #Americans like #teamTURD love #trump because they can see  something of  their own incompetence in the man! 

Capable and well educated folk make them feel (rightly) inferior!"
33,@IngridIngwah @JustSayingWhat1 @odktiger @Freewillburnya @TertiusIII @impeachqueen @ChadCottle @malo_j @MichelleNewDay @Gungglefont @bearschoice2020 @mirandadied4u @Catheri77148739 @RosaRubicon @Sicut_Lupus @HazyPeter @Canna420Uk @stevensoileau1 @SlsStudios @BabeTruth2 @gimmesomeloki @andyguy @Jaxhomegirl @RTheatheist @AndrewRChapman @Melanie33720945 @Unlockthedoor77 @AGTCnews @GlennB10809975 @Yahweh_Has_Nil @OfRewol @1pckt @LeyFenix @craigo001 @DeanPHanley @CONSMILITIA @ShawnTheAtheist @____Roar____ @jools6691 @MassageForYou7 @Melbajapan @HaircutSpock @SmokeyStafford @AMilitantAgnost @mavcatrn @Thedukeistheman @orna_verum @Minagica #Trump supporters clearly aren¡¯t ¡°in their tight mind¡± !
34,"#US #election2020

Trump is in the fight of his political life while idiot #Trump #MAGAt supporters conjure up ¡°kingdoms of the mind¡±, places that existed only in the abstract!
 https://t.co/MXAargeDuR"
35,"@JustSayingWhat1 @IngridIngwah @odktiger @Freewillburnya @TertiusIII @impeachqueen @ChadCottle @malo_j @MichelleNewDay @Gungglefont @bearschoice2020 @mirandadied4u @Catheri77148739 @RosaRubicon @Sicut_Lupus @HazyPeter @Canna420Uk @stevensoileau1 @SlsStudios @BabeTruth2 @gimmesomeloki @andyguy @Jaxhomegirl @RTheatheist @AndrewRChapman @Melanie33720945 @Unlockthedoor77 @AGTCnews @GlennB10809975 @Yahweh_Has_Nil @OfRewol @1pckt @LeyFenix @craigo001 @DeanPHanley @CONSMILITIA @ShawnTheAtheist @____Roar____ @jools6691 @MassageForYou7 @Melbajapan @HaircutSpock @SmokeyStafford @AMilitantAgnost @mavcatrn @Thedukeistheman @orna_verum @Minagica #Trump supporters =&gt; 

Poorly educated, illiterate and probably below average IQ"
36,"@impeachqueen @jools6691 @JustSayingWhat1 @odktiger @Freewillburnya @IngridIngwah @TertiusIII @ChadCottle @malo_j @MichelleNewDay @Gungglefont @bearschoice2020 @mirandadied4u @Catheri77148739 @RosaRubicon @Sicut_Lupus @HazyPeter @Canna420Uk @stevensoileau1 @SlsStudios @BabeTruth2 @gimmesomeloki @andyguy @Jaxhomegirl @RTheatheist @AndrewRChapman @Melanie33720945 @Unlockthedoor77 @AGTCnews @GlennB10809975 @Yahweh_Has_Nil @OfRewol @1pckt @LeyFenix @craigo001 @DeanPHanley @CONSMILITIA @ShawnTheAtheist @____Roar____ @MassageForYou7 @Melbajapan @HaircutSpock @SmokeyStafford @AMilitantAgnost @mavcatrn @Thedukeistheman @orna_verum @Minagica So blind in love with #Trump she cannot see what a disaster he really is!

How many people have to die before we can call his lack of a #covid19 plan genocide and a crime against humanity ?"
37,"@Freewillburnya @IngridIngwah @odktiger @TertiusIII @impeachqueen @ChadCottle @malo_j @MichelleNewDay @Gungglefont @JustSayingWhat1 @bearschoice2020 @mirandadied4u @Catheri77148739 @RosaRubicon @Sicut_Lupus @HazyPeter @Canna420Uk @stevensoileau1 @SlsStudios @BabeTruth2 @gimmesomeloki @andyguy @Jaxhomegirl @RTheatheist @AndrewRChapman @Melanie33720945 @Unlockthedoor77 @AGTCnews @GlennB10809975 @Yahweh_Has_Nil @OfRewol @1pckt @LeyFenix @craigo001 @DeanPHanley @CONSMILITIA @ShawnTheAtheist @____Roar____ @jools6691 @MassageForYou7 @Melbajapan @HaircutSpock @SmokeyStafford @AMilitantAgnost @mavcatrn @Thedukeistheman @orna_verum @Minagica How many #Americans has #Trump killed today with his #TrumpVirus ?

98,000 new cases  yesterday - at this rate by Christmas he will have killed more #Americans than all the wars of the last 100 years!"
38,"@Freewillburnya @JustSayingWhat1 @odktiger @IngridIngwah @TertiusIII @impeachqueen @ChadCottle @malo_j @MichelleNewDay @Gungglefont @bearschoice2020 @mirandadied4u @Catheri77148739 @RosaRubicon @Sicut_Lupus @HazyPeter @Canna420Uk @stevensoileau1 @SlsStudios @BabeTruth2 @gimmesomeloki @andyguy @Jaxhomegirl @RTheatheist @AndrewRChapman @Melanie33720945 @Unlockthedoor77 @AGTCnews @GlennB10809975 @Yahweh_Has_Nil @OfRewol @1pckt @LeyFenix @craigo001 @DeanPHanley @CONSMILITIA @ShawnTheAtheist @____Roar____ @jools6691 @MassageForYou7 @Melbajapan @HaircutSpock @SmokeyStafford @AMilitantAgnost @mavcatrn @Thedukeistheman @orna_verum @Minagica Where was that hidden #Trump bank account again?

Was it China? <U+0001F1E8><U+0001F1F3>"
39,"Ain't no #Love in the world like #Trump's love for Americans, like Trump supporters love for him, and for each other <U+0001F1FA><U+0001F1F8><U+0001F49C><U+0001F4AA><U+0001F64F><U+0001F985>
#MAGA #Trump2020 #TrumpTrain https://t.co/jzKD1LNj9N"
40,"#Trump, #Biden crisscross Midwestern battleground states #Election2020 #USElections2020
https://t.co/wLCXhIpksm"
41,"@bfosterls7 And I don't feel sorry for Trump's victims, the Truth,
""You can't fix Stupid""
But looks like that Trump finally found the Cure<U+203C>
#Trump #KAG #MAGA #VoteHimOut2020 #VoteBidenHarrisToSaveAmerica #TrumpFailedAmerica
#AmericaFirst https://t.co/RAsaHnxKcD"
42,"@Acosta The Truth <U+0001F914><U+0001F914><U+0001F914>
""You can't fix Stupid""
But looks like that Trump finally found the Cure<U+203C>
#Trump #KAG #MAGA #VoteHimOut2020 #VoteBidenHarrisToSaveAmerica #TrumpFailedAmerica
#AmericaFirst https://t.co/RAsaHnxKcD"
43,"@Acosta By the way how is the Army for Trump,also known in Cuba and Venezuela as.
  ""THE REVOLUTIONARY PARTY COMMITTEE"" or ""EL COMITE DEL PARTIDO REVOLUCIONARIO"".
recruitment campaign going.
#Trump #KAG #MAGA #VoteHimOut2020 #VoteBidenHarrisToSaveAmerica #TrumpFailedAmerica https://t.co/gne0MB9HDP"
44,#America get out and #vote in person asap ! He is  planning on stealing the #election ! The race cant be close or all we have done wiil be for NOT! Get ur friends &amp; family to the polls #florida #Texas #Ohio #Michigan #Arizona #Pennsylvania make #trump lose by large numbers https://t.co/b45Zz9RysW
45,#vote to stop #hate #Texas !! #trump must go do not let these fools make u look #racist &amp; a #hate state https://t.co/B9HnGaylNx
46,"Folks #trump cant have watchers at polls, this is his way to scare u from going to #vote, please #youngvoters take grandma with u to vote so they feel safe https://t.co/jSQ9vHIieP"
47,@realDonaldTrump Awww someone trying to toot all the good they did while hiding all the bad !!! #Obama did more then u #trump !  Why because your not too #smart
48,@TMZ #Texas get out and #vote such #haters back in thewoods #trump must go #FlipTexasBlue
49,@realDonaldTrump Bull crap it is lol lol lol u wrecked the one left for u #trump
50,@realDonaldTrump Oh like all ur other fake bills u signed ! This is just another #trump stunt dog &amp; pony show
51,#Pennsylvania do not become a #Hate state under #trump the #racist #bigot ! #unite #America thru your #vote for change https://t.co/GjWtr5J6M3
52,Welcome to #TrumpsAmeriKKKa #rightwing #Rioters #Texas is better then this #vote &amp; show #America the bus ramming is not a #Texan thing but an idiots thing ! #trump must go #LaborunionsforJoe https://t.co/jxjEn9V6Yg
53,@realDonaldTrump #Pennsylvania #trump is trying every lie he can come up with stop his #hate train and rid #America of the #LiarInChief
54,"#Trump NEW links to TRUMP and the PANDEMIC #pandemic #coronavirus #virus #COVID19
https://t.co/USTAgzDNtX"
55,"#Trump and his grabby little hands. 
#VoteHimOut  https://t.co/Yyo6W1epA6"
56,"@USSupremeCourt @realDonaldTrump @VP @GOP @JoeBiden @KamalaHarris @TheDemocrats If saboteur-in-chief #Trump tries to stop Michigan, Pennsylvania, and Wisconsin from counting ALL BALLOTS cast, then America is no better than China and Russia. https://t.co/GFj9ltLkZY"
57,Spooky. #Trump https://t.co/gFUzwJIrRf
58,"@GOPChairwoman @realDonaldTrump Meanwhile, over at the #Trump rallies: https://t.co/r5QzxBvP8l"
59,"this is amazing #Trump #MAGA you know the liberals couldn't care less about these people,their lives have NEVER MATTERED to them. well done mr.president #Election2020 

Trump announces day of remembrance for Americans killed by illegal immigrants https://t.co/9HAMbFN8iI #FoxNews"
60,@downwithtyranny <U+0001F525> #Trump<U+2014>crazed arsonist <U+27A1><U+FE0F> #MAGAkills <U+0001F480> https://t.co/GnmEdWWVrT
61,@realDonaldTrump #TRUMP IS NOT #AMERICA https://t.co/awmHdgK4Ze
62,"Glenn Greenwald says mainstream media is 'desperate to see' Trump lose
#HunterBiden #Trump https://t.co/Q2SJAoNQsZ via @nypost"
63,How much will #trump hate this...lol...#TrumpFailure https://t.co/2KchvRDzUb
64,@matthaig1 @Martin_Flanagan 100% correct.....#Trump @piersmorgan
65,@realDonaldTrump Nice #Hitler salute #trump #TrumpIsARacist
66,Look up irony in the dictionary....it will show this...#trump #TrumpCorruption #Biden https://t.co/JKihpXlr9o
67,<U+0001F3A0><U+0001F3A0><U+0001F3A0>#Trump N #Biden <U+0001F354><U+0001F354><U+0001F354>again #imagine <U+0001F984><U+0001F984><U+0001F984> fighting each other in high school; Trump slams Supreme Court: Live election updates https://t.co/Do9u2eNwtw
68,"@joelockhart @JoeBiden If #Trump cheats to win, it's gonna be another #BostonTeaParty like on June 1, 1774. But this time 2020 without King George III. Every Republican and the #SCOTUS will feel the heat. It might be the end of democracy in #America it might as well be the bloodiest revolution..."
69,"Because we could all use a little #comedy nowadays <U+0001F60A>
https://t.co/YANg7pvHlD 

#humor #comedy #fantasy #Kindle #QuarantineLife #pandemic #COVID19  #coronavirus #STIMULUSPACKAGE #STIMULUSCHECK #stimulus #BidenHarris2020Landslide #Trump #KindleUnlimited #Quarantine"
70,"I made my novel FREE for all of <U+2764><U+FE0F>YOU<U+2764><U+FE0F>Self-Quarantiners! ENJOY! <U+0001F60A>
https://t.co/gNtNIxXINi 

#fantasy #thriller #suspense #Kindle #KindleUnlimited #QuarantineLife #pandemic #Trump #BidenHarris2020Landslide #COVID19  #coronavirus #stimulus #unemploymentbenefits #freebooks"
71,"""They know this year¡¯s election truly is the most important in history, bc our very democracy is on the ballot. It¡¯s no longer just about traditional conservative touch-points like de-regulation, lower taxes &amp; gun rights. It¡¯s existential."" #Trump #Biden https://t.co/Js6kRKY3MU"
72,"""The anxiety we¡¯re feeling now could turn out to be a lot of fretting followed by nothing much, a political version of Y2K""-@RonSuskind

My feeling exactly. Bc America, our rule of law &amp; democracy, is SO much bigger, better, stronger, resilient than #Trump https://t.co/ovWVsor6rp"
73,Hey #Trump supporters: shame on you for laughing and cackling like immature fools when he makes fun of #Biden¡¯s sunglasses. No wonder he lies to you and treats you like idiots. You let him. Because you expect so little from him...
74,"BREAKING: the flailing candidate who lied to us about #Covid19 because he didn't want to cause ""panic"" is literally predicting the end of the world if @JoeBiden wins...  #Trump #Biden #Election2020"
75,"'DEATH, POVERTY, DEPRESSION, EXPLOSIONS, PLUMMETS!' Good thing when it comes to the truth about #Covid19 he doesn't wanna ""panic"" us... #Trump #coronavirus https://t.co/nOGnd4jkGz"
76,".@realDonaldTrump is not only failing to control #COVID19 virus, he and his rallies are actually SPREADING it and keeping it alive. Literally killing his own supporters for his selfish political benefit. He¡¯s a sociopathic mass-murderer...  #Trump https://t.co/709GP62SX7"
77,.@realDonaldTrump seems fatigued. Weak. Low-energy. Slowed speech...can't get the words out. Half-hearted. Defeated. It's like he's tired of hearing his own bullshit at this point... #Trump
78,Hey @realDonaldTrump: Please keep mocking and dismissing #Covid19 and mask-wearing. I hear Pennsylvania seniors and suburban women LOVE that... #Trump #coronavirus
79,Y¡¯all keep playing wit Trump.. #Trump #POTUS https://t.co/s22oHeWSSO
80,"@FBI Tony is a Russian agent?Laptop is a product of Russian disinformation?The meeting in Ca a lie?The FBI covered up the Clinton affair, the illegal emails compromising National Security. Weiner laptop with classified work related emails=reasonable felony for Comey #MAGA #TRUMP"
81,"@briantylercohen You may have replied to me,but since Twitter censors like authoritarians,it didn't come through. Many democrats like you are intolerant,ignorant&amp;party hacks.Trump supporters can criticize him,and Republicans don't attack or cancel you:democrats do #MAGA #TRUMP"
82,"@realDonaldTrump Democrats accused you of being a Russian agent.Democrats used foreign agents/Steele in US election.The FBI spied on you.Democrats impeached you,to cover-up the Biden corruption in Ukraine.FBI holds Hunter's laptop,as Democrats lie about you on TV. #MAGA #TRUMP"
83,"@briantylercohen You live in Ca,so you are a liar,or not awake.Trump is shutting down Thanksgiving in Ca? Newsom is shutting down Thanksgiving,he shut down the 4th as proof.Biden is afraid of Covid,so are you,Democrats operate on feelings,not facts.Use science buddy #MAGA #TRUMP"
84,"@FBI I could make a compelling case:FBI is a very corrupt organization,and with a specific agent list of people directly involved,would be able to convict those agents as subversive agents of the State. You know it's true.FBI needs to be abolished.We need patriots!!! #MAGA #TRUMP"
85,"@HonorDecency ""You cannot serve Jesus and worship at Trump's throne"" Jesus supports abortion?Joe does.Jesus supports deception?Joe does.Trump was impeached by Democrats,for exposing the Biden family corruption in Ukraine. You are a cult member,that is subjective=fact #MAGA #TRUMP"
86,"@FBI FBI is so corrupt it is embarrassing me as an American.Regardless of what you say,or may think,the FBI is beyond repair.Decent,honorable agents would have spoken out,and stepped up to do the correct and honorable thing=tell the truth.FBI agents fabricate=wrong #MAGA #TRUMP"
87,"@FBI The minute Trump is officially announced as President,after the election,the FBI must publicly announce a criminal investigation into the Biden family corruption related to Tony.Your failure to do so are intentional actions, not beneficial to American democracy #MAGA #TRUMP"
88,"@FBI The Obama administration acknowledged a conflict of interest regarding Hunters business activities in Ukraine.FBI had Hunters laptop,with evidence of wrongdoing,during the impeachment of Trump:accusing the Biden family of corruption.FBI need to answer for that! #MAGA #TRUMP"
89,"@briantylercohen Democrats impeached Trump for exposing the Biden family corruption in Ukraine,calling it Russian disinformation.Propagandists,like Schiff and you, lie for a living=like Brennan.Joe Biden is compromised by China=cannot pass a National Security check #MAGA #TRUMP"
90,"@FBI Joe Biden is mocking corruption allegations, deflecting talking about Trump bank accounts.If the FBI lets Joe off of corruption charges,you will regret that decision.That is not a threat,it's a guarantee that your action with intent will have a reaction. MAC #MAGA #TRUMP"
91,@jeadvocaat Fear #Trump in the #WhiteHouse 2016-2024 https://t.co/BpuGKWw26a
92,"#Trump puts #America first.
I fear everyone loves #PresidentTrump

https://t.co/dG7dhSrBmS"
93,@JanPostmaUSA @jeadvocaat Fear #Trump in the #WhiteHouse 2016-2024 https://t.co/2odNFv69KR
94,"@steelerschic_85 @strom_annette @FrakerMonica @MagsBitchs @297_ArubaLover @Aejlex @Ajagirl001 @ChristineB143 @therealzanetta @ZayaRose7 @nixw20 @TexasBluein20 @NikkiJB1975 @jules1327 @deployAstro @nicole_bertrand @Kokomothegreat @KikiAdine @MaskShelby Thank you for the Halloween Shout Out, Beth. Our Ghostly #Resisters are #StrongerTogether fighting the #democracy sucking #Trump.
#NeverGiveUp https://t.co/JUxgm6rWBO"
95,"#ThePlotAgainstThePresident #ObamaBidenGate wire tapping everyone in the #Trump campaign.  Nothing to find, so #SchiffClown #AndyMcCabe lie to the public, and told the truth about Russian collision-NEVER HAPPENED. #WeAreSmarterThanyouThink #Trump2020Landslide"
96,#ThePlotAgainstThePresident #muellerGarbageMemos #demcabal #operationcrossfirehurricane against #GeneralFlynn #comeyisatraitor. #Trump stands for America.  Not his own agenda.  #wakethefuckup
97,"@merrystargazer @RealJamesWoods <U+0001F44F><U+0001F44F><U+0001F44F><U+2764><U+FE0F><U+0001F44F><U+0001F44F><U+0001F44F>. #ThePlotAgainstThePresident needs to be seen by these blind followers of #BidenCrimeFamiIy. #trump never had a clean start, and shows how disgusting M-Obama tried to blow up every relationship from the beginning of Trump being elected. Disgusting, #VoteTrump2020"
98,"@AFlyover @RealJamesWoods LMAO!!  If this was a #Trump rally, you'd be saying the same <U+0001F937><U+0001F3FB><U+200D>¡Ï<U+FE0F><U+0001F602>. But, as you can see, #Trump turnouts will equal #Trump2020Landslide"
99,@bsoenensvrt 'President #Trump signed an #executiveorder expanding a ban on government agencies receiving sensitivity training involving #CriticalRaceTheory to federal contractors' https://t.co/DyC2VAkYUy #vrtnws #Election2020
100,"@therecount What #Trump said <U+0001F447>

https://t.co/51P4iro6vN https://t.co/ER4QORSYOT"
101,Is #Trump on coke? https://t.co/mqLXBceAe6
102,@grindingdude @JoeBiden That's what I like to see #TRUMP
103,"@JudgeJeanine @NYGovCuomo <U+2022>Get To Know Donald Before VOTING <U+0001F5F3>.
<U+0001F339>MUST READ BOOK &gt;&gt;&gt; How #My #Family #Created #The #World's #Most #Dangerous #Man #TRUMP ...50 Millions Copies Of &gt;<U+0001F4DA>{#Too #Much #and #Never #Enough} , Will Be Distributed Complementary For The Electiwon<U+0001F5F3> https://t.co/nSo65eBcso"
104,"@JudicialWatch @realDonaldTrump #The Mafia¡¯ BOSS and His Boys ***
 LYING<U+0001F925> #Trump #2016 Campaign #Chairman , #Manger and Top #Advisers #Got #Indicted In The RUSSIA<U+0001F1F7><U+0001F1FA> Investigation 
Steve Bannon ,Paul Manafort,  Roger Stone  Rick Gates, Michael Flynn , Michael Cohen And SOON To Join Them Giuliani ,BARR and TRUMP"
105,"@JudicialWatch @realDonaldTrump <U+2614><U+FE0F>#WHY Trump &amp; Republicans Senators Refused To FUND The POSTAL SERVICES 2 MONTHS Before The ELECTION<U+0001F5F3>????? In The Middle Of The Deadly Pandemic<U+0001F637>???? TO Steel The ELECTION<U+0001F5F3>. #THANK #GOD , #He #Created #ONLY #ONE #Donald #TRUMP , #JUST Like GOD #Created #ONLY ONE #ALDOLF #HITLER"
106,@JudgeJeanine @EricTrump @newtgingrich @ThomTillis @Jim_Jordan @David_Bossie @TheLeoTerrell *LOST IT ALL<U+0001F525> #DONALD J #TRUMP Is a #FRAUD &amp; #LOUSY #Business Man<U+0001F622> &gt;Donald INHERITED $416 MILLIONS From His Daddy and FAILED In Business With 6 BANKRUPTCIES. &gt;&gt;Donald INHERITED The STRONGEST ECONOMY From BIDEN &amp; OBAMA And Donald Failed To CONTROL The VIRUS<U+0001F9A0> To Save OUR ECONOMY
107,"@realDonaldTrump By The  Time, #Donald J #Trump Entered Office , &gt; { He Had  <U+0001F490>#Inherited #From #Biden &amp; #Obama <U+0001F339>}&gt; #ONE #OF #The #STRONGEST #JOB #Markets #IN  #AMERICA #HISTORY, But Covid-19 Swiftly PUT An End To That. The unemployment rate Shot To14.7%, UP 10% FROM WHEN Trump TOOK OFFICE."
108,@realDonaldTrump #DONALD J #TRUMP Is a #FRAUD &amp; #LOUSY #Business Man <U+0001F61E> <U+0001F61E> <U+0001F622> &gt;&gt;Donald INHERITED $416 MILLIONS From His Daddy and FAILED In Business With 6 BANKRUPTCIES. &gt;&gt;Donald INHERITED The STRONGEST ECONOMY From BIDEN &amp; OBAMA And Donald Failed To CONTROL The VIRUS <U+0001F9A0> To Save OUR ECONOMY
109,"@realDonaldTrump WHY Trump &amp; Republicans Senators Refused To FUND The POSTAL SERVICES 2 MONTHS Before The ELECTION <U+0001F5F3>????? In The Middle Of The Deadly Pandemic<U+0001F637>???? TO Steel The ELECTION<U+0001F5F3>. #THANK #GOD , #He #Created #ONLY #ONE #Donald #TRUMP , #JUST Like GOD #Created #ONLY ONE #ALDOLF #HITLER"
